	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CTC-436P18.3	6.730336542	-6.176761991	1.548827355	-3.988024856	6.66E-05	0.000566552
BX470102.3	6.63680592	-6.167650655	1.632064817	-3.779047616	0.000157429	0.001191068
LIMS2	6.66634717	-6.163744667	1.516183564	-4.065302391	4.80E-05	0.000422409
WDR72	286.5839408	-6.137909835	0.366088754	-16.76617972	4.31E-63	2.23E-60
RP11-44N21.1	23.29019375	-6.104643343	1.128430863	-5.40985145	6.31E-08	1.06E-06
CTA-392C11.1	22.94777698	-6.081768991	1.158382741	-5.250224106	1.52E-07	2.37E-06
HLA-DPB1	33.38782285	-6.040143814	1.003509247	-6.019021583	1.75E-09	3.80E-08
RP11-575F12.3	6.025572172	-6.026042845	1.506829682	-3.999153266	6.36E-05	0.000542844
RP11-642C5.1	6.06090362	-6.02513866	1.567027727	-3.844947064	0.000120578	0.00094555
RP11-108H9.1	5.987787286	-6.013269556	1.496512507	-4.018188639	5.86E-05	0.000504537
CTD-2008L17.1	5.8805159	-5.993808769	1.589853046	-3.770039491	0.000163222	0.001229911
KLK13	85.33019954	-5.965562431	0.577863439	-10.32348134	5.52E-25	5.34E-23
LINGO2	5.757446084	-5.962796813	1.581445888	-3.770471603	0.000162939	0.001228164
CTD-2566J3.1	21.08693762	-5.95061176	1.139355709	-5.222786628	1.76E-07	2.72E-06
BCL11A	5.710829364	-5.938340867	1.727086438	-3.438357651	0.000585254	0.003722756
AURKC	5.697381671	-5.936928006	1.619809148	-3.665202171	0.000247143	0.001764269
CIB4	5.658420389	-5.93185189	1.512575473	-3.921689857	8.79E-05	0.000719014
CTC-518B2.9	5.61788694	-5.922765992	1.516156994	-3.906433182	9.37E-05	0.000759798
KRT9	1124.884301	-5.907984654	0.290572196	-20.33224354	6.67E-92	8.10E-89
RP11-689K5.3	20.4933696	-5.906296817	1.168469752	-5.054728036	4.31E-07	6.10E-06
CTC-537E7.2	5.494817124	-5.889681558	1.528394257	-3.853509349	0.000116437	0.000917516
KLK11	12873.72523	-5.876615147	0.189305667	-31.0429964	1.42E-211	1.72E-207
RTP4	19.54163463	-5.847656392	1.184199674	-4.938066205	7.89E-07	1.06E-05
OR13Z2P	10.14189303	-5.789813231	1.363245426	-4.24708062	2.17E-05	0.000208802
AGPAT4	5.062396873	-5.778270222	1.685892262	-3.427425555	0.000609333	0.003858869
MIR450A2	5.079181327	-5.769624957	1.647402477	-3.502255847	0.000461336	0.00303057
TNFRSF14	5.041396441	-5.757557517	1.764859553	-3.262331843	0.001104997	0.006342699
RP11-370B11.3	4.995365865	-5.75243137	1.626261123	-3.537212621	0.000404374	0.002699458
AC093585.6	4.991147833	-5.751595448	1.551882376	-3.706205791	0.000210387	0.001534836
VCX3B	5.004595525	-5.751159184	1.707624503	-3.367929643	0.000757349	0.004627165
ZPLD1	63.5511334	-5.742274252	0.646860108	-8.877150072	6.86E-19	4.51E-17
CTTNBP2	4.905862902	-5.72971268	1.603656598	-3.572905002	0.000353043	0.002405724
AF127936.3	4.858951055	-5.71691468	1.662902182	-3.437913993	0.000586214	0.003725933
RP11-266A24.1	4.789759681	-5.68794519	1.600498995	-3.553857395	0.000379625	0.002556022
SPANXB1	4.681607025	-5.653965671	1.679080997	-3.367297756	0.000759087	0.004631955
KLK10	507.8836559	-5.645361323	0.320463144	-17.6162577	1.85E-69	1.21E-66
CXCL10	4.606330326	-5.638315129	1.593735502	-3.537798538	0.000403478	0.002694215
RP11-389C8.2	4.606330326	-5.638315129	1.593735502	-3.537798538	0.000403478	0.002694215
PLAC9	4.591413165	-5.634135848	1.615032252	-3.488559342	0.000485631	0.003166184
HLA-DRB1	8308.597166	-5.616122688	0.213909958	-26.25461074	6.33E-152	3.84E-148
FBLL1	4.500338036	-5.602752278	1.665395676	-3.364216901	0.000767612	0.004675752
HLA-DRB6	465.0275164	-5.601807692	0.274342504	-20.41902957	1.13E-92	1.45E-89
RP5-898J17.1	4.432027932	-5.583172727	1.608635065	-3.470751602	0.000519004	0.00335316
RP11-263K4.5	4.423489169	-5.580634073	1.616430649	-3.452442625	0.000555536	0.003555135
CTB-60B18.18	4.372256591	-5.564203646	1.768945761	-3.145491382	0.001658081	0.008933064
RP11-138H8.6	4.343701366	-5.54583	1.697015539	-3.267990112	0.001083141	0.00624826
MUCL1	4726.932705	-5.543292604	0.238535054	-23.23890141	1.84E-119	4.47E-116
LRRN1	47.27674224	-5.538855229	0.721885996	-7.672756164	1.68E-14	7.41E-13
MSLNL	31.79488655	-5.537593364	0.856810997	-6.463027885	1.03E-10	2.70E-09
ZNF781	4.29620132	-5.537246718	1.714232311	-3.230161211	0.001237204	0.006979499
FCGR1C	4.23152105	-5.518706322	2.035080917	-2.711787171	0.006692155	0.027949384
CNTNAP5	4.173028805	-5.493719451	1.633709814	-3.362726601	0.000771768	0.004690504
RP6-74O6.6	4.143194484	-5.484869221	1.625318468	-3.374642773	0.000739116	0.004532869
ONECUT3	4.103249233	-5.465667485	1.676095946	-3.260951439	0.001110391	0.006369141
RP11-158H5.8	4.050547187	-5.443178164	1.718139673	-3.168065	0.001534572	0.008383306
RP11-838N2.3	4.04416879	-5.441061702	1.70533111	-3.190618918	0.001419684	0.007846711
RP3-418A9.3	3.928358641	-5.410105377	1.681142958	-3.218111435	0.001290377	0.007224046
GABRP	283.5464115	-5.403289182	0.29564177	-18.27647422	1.27E-74	9.67E-72
RP11-485F13.1	3.896363954	-5.399456894	1.705652054	-3.165626238	0.001547495	0.008437913
APOL6	259.6862527	-5.395702396	0.337272721	-15.99803975	1.32E-57	5.93E-55
C1QTNF8	3.897054852	-5.393715198	1.795123322	-3.004648834	0.002658876	0.013243124
DDO	14.57501673	-5.393256234	1.177948253	-4.578517111	4.68E-06	5.32E-05
FAM181A-AS1	3.894894486	-5.392618353	1.679344311	-3.211145158	0.001322071	0.007381109
MIR450B	3.886943921	-5.383435757	1.726303877	-3.118475159	0.001817895	0.0096375
HTR4	3.86770603	-5.379730567	2.076104946	-2.591261379	0.009562483	0.037282785
GIMAP2	113.1761398	-5.372578615	0.454851956	-11.81170828	3.40E-32	5.25E-30
RP11-408H1.3	3.824424017	-5.368065043	2.076785895	-2.584794637	0.009743701	0.037825373
CTD-2210P24.6	3.796750061	-5.360095224	1.668403663	-3.212708855	0.001314895	0.007344421
RP11-259K5.1	3.764755375	-5.349215726	1.690934834	-3.163466514	0.001559023	0.008485529
ITM2A	159.7689244	-5.339199878	0.374584656	-14.25365345	4.25E-46	1.26E-43
RP11-308D13.3	3.730600323	-5.336753531	1.756180485	-3.038841154	0.0023749	0.01201851
GGTLC5P	3.740418182	-5.330731029	2.08741193	-2.553751348	0.010656933	0.040687671
NCMAP	109.8514495	-5.32019858	0.471317953	-11.28791837	1.51E-29	1.91E-27
UPK3A	41.27867574	-5.317478842	0.709112358	-7.498781798	6.44E-14	2.61E-12
PARK2	3.619699104	-5.293835082	2.109132134	-2.509958952	0.01207452	0.045051741
NTM	3.618229635	-5.291445988	1.733912415	-3.051737759	0.002275208	0.011576723
BDKRB1	3.607530507	-5.287655416	1.709760722	-3.092628897	0.001983921	0.010368301
CTD-2314B22.1	3.587411345	-5.267126374	1.837219179	-2.866901475	0.00414512	0.018915519
AC023115.4	3.505756248	-5.243600533	1.71030408	-3.065887871	0.002170247	0.011178497
RP11-63D14.1	3.497217485	-5.240364169	1.732810605	-3.024199041	0.002492924	0.012555609
C5orf46	3.444515439	-5.213184592	1.730738051	-3.012116472	0.00259433	0.012972186
SPINK1	38.54738074	-5.202287421	0.774516016	-6.716823556	1.86E-11	5.45E-10
RP11-397A16.1	3.377777503	-5.195081579	1.830122702	-2.838652061	0.004530453	0.020363978
KLK4	24.95855768	-5.19231496	0.90732477	-5.722664178	1.05E-08	2.02E-07
AC007563.3	3.391813393	-5.186301019	1.794000801	-2.890913436	0.003841239	0.017782755
MIR503	6.669600936	-5.175669049	1.461332827	-3.541745559	0.000397489	0.00266448
TRBV20OR9-2	3.299459168	-5.15772663	1.839603998	-2.803715709	0.005051743	0.022204947
APOOP4	3.298577898	-5.144399875	1.907513764	-2.696913633	0.006998542	0.028985899
CTA-223H9.9	3.272373411	-5.139580518	1.73241316	-2.966717546	0.003009973	0.01460252
BPIFB1	12.04489714	-5.136372263	1.246171693	-4.121721181	3.76E-05	0.000341776
HHATL	3.263834648	-5.13627814	1.74730093	-2.939549823	0.003286894	0.015688977
RP11-328J2.1	29.93897578	-5.126111477	0.776863275	-6.598473166	4.15E-11	1.16E-09
RP11-91I20.3	3.251666051	-5.124827221	1.859859718	-2.755491272	0.005860407	0.025083863
CASP4	757.8250841	-5.124688861	0.20759465	-24.6860353	1.51E-134	6.11E-131
KCNH8	6.469389335	-5.123313374	1.467501186	-3.491181759	0.000480889	0.003142015
LINC00930	3.204754204	-5.105595908	1.83770569	-2.778244599	0.005465346	0.023651353
RP11-1M18.1	3.196215441	-5.101645194	1.802151403	-2.830863814	0.004642248	0.020785701
RP11-512N21.3	3.170599152	-5.091076351	1.802183396	-2.824949094	0.004728813	0.02108389
HTR2C	173.1072191	-5.064757573	0.380321457	-13.31704398	1.84E-40	3.96E-38
MTND3P22	6.165343447	-5.063344398	1.571575185	-3.221827658	0.001273757	0.007147521
OVAAL	3.071866529	-5.058136382	1.874203231	-2.698819583	0.006958589	0.028853729
AF165138.7	3.085314222	-5.056183863	1.75581888	-2.879672796	0.003980881	0.018320954
KRT6C	108.5768295	-5.044207583	0.419106313	-12.03562776	2.31E-33	3.76E-31
CSRNP3	3.042032209	-5.042886972	2.158016084	-2.336816213	0.019448742	0.065977393
RP11-645C24.4	11.49971074	-5.03908756	1.249888758	-4.031628836	5.54E-05	0.000478906
BOLA2P3	3.038402375	-5.036888995	1.786735987	-2.819044914	0.004816678	0.021400995
NPHS1	3.038402375	-5.036888995	1.786735987	-2.819044914	0.004816678	0.021400995
RP11-418H16.1	50.88501835	-5.031256043	0.655869834	-7.671119765	1.71E-14	7.49E-13
CYP8B1	11.45623835	-5.030852781	1.229228832	-4.092690188	4.26E-05	0.000381137
SELV	3.021324849	-5.029712732	1.767283894	-2.846012885	0.00442704	0.01996648
LINC00629	6.059819016	-5.024541512	1.685391118	-2.981231751	0.002870914	0.014074087
TAT	163.1977576	-5.022224956	0.34436932	-14.58383387	3.56E-48	1.11E-45
KRT3	3.017695015	-5.021928701	2.182072065	-2.301449517	0.021366236	0.071091985
RP11-707M1.1	2.982951765	-5.013149898	1.849786676	-2.710123261	0.006725821	0.028056215
PHGR1	5.96179493	-5.011642032	1.514702445	-3.308664385	0.000937421	0.005537878
RNU6-1	2.963713874	-5.004834272	1.817621648	-2.753507188	0.005896048	0.025214195
HLA-DRA	109.6684035	-4.986118537	0.402752632	-12.38010169	3.35E-35	5.94E-33
RHOXF1	2.932307385	-4.982809832	2.189220006	-2.276066278	0.022842043	0.074904383
PLA2G4D	2.872638744	-4.956285946	1.792271662	-2.765365347	0.005685907	0.024470662
FO538757.3	2.881765705	-4.95107105	1.865029355	-2.654688	0.007938179	0.03210435
RP11-482D24.2	2.873226942	-4.947161587	1.865185655	-2.652369524	0.007992901	0.032269561
LYPD8	2.851343186	-4.946533121	1.928312002	-2.565214091	0.010311216	0.039660785
CCDC26	2.843980819	-4.931835428	2.325994275	-2.120312798	0.033979675	0.101704509
NUPR1	638.847175	-4.92531353	0.323852531	-15.20850714	3.11E-52	1.11E-49
PCDH17	10.67030438	-4.924267621	1.329717242	-3.703244166	0.00021286	0.001549614
RP4-735C1.6	2.800110608	-4.923409273	1.858746859	-2.6487788	0.008078319	0.032541059
BTC	1399.926402	-4.918976039	0.215849131	-22.78895461	5.90E-115	1.19E-111
AP000439.5	2.77881505	-4.911057921	2.217944155	-2.214238762	0.026812359	0.084742965
LINC00528	2.732491401	-4.882917266	1.840156013	-2.653534392	0.007965365	0.032166089
CTC-471J1.10	2.715413875	-4.874905529	1.814580623	-2.686519116	0.007220082	0.029709743
LINC01239	142.1366308	-4.873897287	0.377489936	-12.91133041	3.89E-38	7.86E-36
SCARNA6	2.706875112	-4.870873218	1.814517324	-2.684390584	0.007266216	0.029864161
GJB4	30.23773861	-4.860807981	0.826689615	-5.879846432	4.11E-09	8.45E-08
OIT3	2.686167753	-4.851226934	1.900231306	-2.552966535	0.010680976	0.040766648
WNT10A	2.659963266	-4.848524663	1.878924491	-2.580478718	0.009866344	0.038185502
CXorf58	2.666929861	-4.843686201	2.244450025	-2.158072644	0.030922184	0.094557563
CTB-33O18.2	420.3049273	-4.840022412	0.270995024	-17.86018924	2.41E-71	1.67E-68
EPGN	19.80664286	-4.839889159	1.014025931	-4.772944173	1.82E-06	2.26E-05
FAM181A	2.645634303	-4.831117712	1.84440629	-2.619334872	0.008810141	0.034927048
NMUR1	2.605100854	-4.8114208	1.840505996	-2.614183714	0.008944093	0.035377238
AC006262.11	2.596562091	-4.807247362	1.86231666	-2.581326509	0.009842145	0.038128302
RP11-346D6.4	5.17999132	-4.803188781	1.541340283	-3.116241647	0.001831721	0.009700213
RP11-403I13.7	2.588023328	-4.803050894	1.903572887	-2.523176773	0.011629992	0.043729059
GABRA3	39.21856763	-4.802521742	0.680684476	-7.055430105	1.72E-12	5.84E-11
KLK7	163.489241	-4.790065313	0.342912303	-13.96877649	2.42E-44	6.67E-42
DKFZp434J0226	19.26641774	-4.782253065	0.904013173	-5.290025865	1.22E-07	1.96E-06
SLC17A9	80.36090412	-4.781791307	0.504881379	-9.471118372	2.77E-21	2.11E-19
DIRAS3	2.524033955	-4.770960907	1.934067687	-2.466801415	0.013632594	0.049577894
AC034187.2	2.535321282	-4.766707267	1.947024353	-2.448201154	0.014357148	0.051671264
GNA15	33.3364378	-4.766553276	0.685982546	-6.948505177	3.69E-12	1.19E-10
LINC01138	218.0556046	-4.765848675	0.375652928	-12.68684021	7.00E-37	1.37E-34
KCTD19	2.529531083	-4.764345745	2.82052324	-1.689170888	0.091186686	0.212747065
HSPA8P1	2.506956429	-4.760557581	2.299425826	-2.070324482	0.038421968	0.111569222
COLCA2	2.520404122	-4.758741359	1.90577722	-2.497008207	0.012524606	0.046318346
RP11-295P9.12	5.043353473	-4.754695225	1.552248918	-3.063101007	0.002190561	0.011259385
CTC-360J11.4	2.462204948	-4.739069571	1.98865781	-2.383049284	0.017169895	0.059654947
AWAT1	2.47565264	-4.737702128	2.296618053	-2.062903808	0.039121768	0.11302775
OFCC1	4.970064406	-4.737495431	1.520513194	-3.115721357	0.001834956	0.009715224
AC098828.2	2.460044583	-4.737478126	2.009558296	-2.357472353	0.018399825	0.063285393
HOXB4	2.482619236	-4.735430532	2.385605771	-1.98500129	0.047144328	0.129474969
GHRHR	23.34780513	-4.733552373	0.807311913	-5.863350086	4.54E-09	9.28E-08
FAM169B	2.447287788	-4.728939965	2.269134756	-2.084027822	0.037157637	0.108750345
LGALS7	2.456414749	-4.725623035	1.872860508	-2.523211427	0.011628846	0.043729059
CTB-33O18.3	428.2744183	-4.721368099	0.25862707	-18.25550628	1.87E-74	1.38E-71
RP3-333B15.5	2.447875986	-4.721202951	1.890068955	-2.497899846	0.012493148	0.04623017
AC093166.2	2.443657954	-4.719853484	2.030036473	-2.325009204	0.020071468	0.067720988
AL589986.2	2.439337223	-4.716796434	1.928025817	-2.44643842	0.014427544	0.051878492
PCSK5	2.424420062	-4.709050292	1.873962584	-2.512883838	0.011974876	0.044750699
RP13-192B19.2	2.404593973	-4.704795576	2.340253214	-2.010378855	0.044391107	0.123817896
RP11-45M22.3	2.39605521	-4.699684202	2.382818551	-1.972321477	0.048572919	0.132425002
RP11-182N22.7	2.378977684	-4.687354491	2.844270444	-1.647998874	0.099352902	0.226625771
AC093642.1	2.37534785	-4.682824538	1.955339145	-2.394891214	0.016625297	0.058153819
AC005037.1	2.36043069	-4.675206399	1.913010303	-2.443900272	0.014529442	0.052160038
RP11-386B13.4	2.371718016	-4.670066284	1.970809851	-2.369617891	0.017806477	0.061492608
LINC01511	2.371718016	-4.670066284	1.970809851	-2.369617891	0.017806477	0.061492608
RP11-54D18.2	2.371718016	-4.670066284	1.970809851	-2.369617891	0.017806477	0.061492608
AC006262.10	2.347673895	-4.667930915	2.036964905	-2.291610869	0.021928108	0.07256384
JAKMIP2	2.35464049	-4.660573686	1.971789329	-2.363626589	0.018097043	0.062349948
RP11-324I22.2	2.328436003	-4.657599131	1.958172278	-2.378544106	0.017381157	0.060268245
DNAJB3	2.31989724	-4.652600854	1.985780844	-2.342957869	0.019131543	0.065092275
HIST2H2BB	2.315679208	-4.648286457	2.319457018	-2.004040782	0.045065692	0.12521831
CTB-33O18.1	1867.249197	-4.638414549	0.199896869	-23.20403808	4.15E-119	9.15E-116
PPIAP14	2.316855605	-4.635607269	2.49114586	-1.860833339	0.062767716	0.16076741
RP11-20G13.5	2.294971849	-4.62905433	2.350006754	-1.969804692	0.048860759	0.133040163
DUX4L9	2.292811483	-4.626414768	1.924286157	-2.4042239	0.016206844	0.05696084
HRH1	21.67174232	-4.616260203	0.865220522	-5.335356811	9.54E-08	1.55E-06
MUC19	8.502582739	-4.611712293	1.335935326	-3.452047568	0.00055635	0.003558469
CACNA1S	38.50032466	-4.610299861	0.607820186	-7.58497326	3.33E-14	1.40E-12
LINC00693	2.261404995	-4.599072011	2.130703463	-2.15847587	0.030890852	0.094485547
CT55	2.243739271	-4.598882695	1.916571478	-2.399536228	0.016415855	0.057562152
RP11-439A17.10	2.255026598	-4.597899477	2.367956846	-1.941715908	0.052171502	0.139891455
RP5-936J12.1	2.230291579	-4.59437854	2.888576415	-1.590533841	0.111714524	0.246175386
RP5-1185I7.1	2.230982476	-4.591808996	2.047228537	-2.24293913	0.02490074	0.080238131
LINC01559	2.230982476	-4.591808996	2.047228537	-2.24293913	0.02490074	0.080238131
CTD-2623N2.11	2.226661745	-4.588907273	1.980183726	-2.317414901	0.020481141	0.068799793
ADTRP	2.237949072	-4.584431322	2.058604182	-2.226961045	0.025949877	0.082727582
C3P1	2.237949072	-4.584431322	2.058604182	-2.226961045	0.025949877	0.082727582
GALNT5	4153.858576	-4.574923609	0.18768722	-24.37525369	3.13E-131	1.09E-127
RP11-19G24.1	2.201148155	-4.572176907	2.902597392	-1.575201893	0.11520985	0.251662748
FAM230C	8.292553126	-4.571774651	1.3344746	-3.425898589	0.000612769	0.003871454
ENPP7P11	2.214493148	-4.570274737	2.020880829	-2.261526098	0.023726698	0.07716976
RP5-963E22.5	2.179749898	-4.562052868	1.983337135	-2.300190314	0.02143744	0.071284051
ATCAY	2.179749898	-4.562052868	1.983337135	-2.300190314	0.02143744	0.071284051
AC106869.2	4.415853434	-4.556966173	1.589654902	-2.866638643	0.004148564	0.018927458
RP11-739N10.1	2.184658827	-4.555233381	2.359830506	-1.930322271	0.053566919	0.142780964
CECR7	2.166993103	-4.552326263	2.371512159	-1.919587992	0.054909962	0.145440434
KRT4	65.94469914	-4.544452998	0.517489985	-8.781721644	1.61E-18	1.04E-16
PROM1	2.167581301	-4.54248589	1.991310958	-2.281153465	0.022539367	0.074122014
RP11-993B23.3	2.149915577	-4.541832698	2.350335006	-1.932419288	0.053307775	0.142211686
MIR548XHG	2.149915577	-4.541832698	2.350335006	-1.932419288	0.053307775	0.142211686
AIRN	2.1681695	-4.541506021	2.924968191	-1.552668516	0.120502348	0.260158238
ZNF334	16.02045185	-4.530435303	0.954359917	-4.747093021	2.06E-06	2.54E-05
CEACAM7	16.2380236	-4.522384825	1.011437274	-4.471245961	7.78E-06	8.35E-05
ITLN2	2.133426249	-4.522150402	2.065055478	-2.18984451	0.028535515	NA
RP11-818F20.5	2.115760525	-4.520196842	2.380820651	-1.898587716	0.057618705	NA
RP11-235G24.1	2.136174813	-4.518231015	2.532606607	-1.784024018	0.074419763	0.182968045
CSF2RB	15.79526231	-4.514964099	0.967683394	-4.665745145	3.08E-06	3.62E-05
IGFBP5	101255.7925	-4.513490715	0.19163045	-23.5530977	1.17E-122	3.15E-119
MAGEA1	7.875600864	-4.510737971	1.386414957	-3.25352662	0.00113982	0.006507212
RP11-90P13.1	2.098682999	-4.508826154	2.449408795	-1.840781401	0.065653599	NA
ATP13A5	2.121257653	-4.508153698	2.462972809	-1.830370876	0.0671945	NA
TRIM43	2.109970326	-4.507824651	1.995902579	-2.258539419	0.02391205	NA
LINC01152	4.280685055	-4.506589131	1.583481845	-2.845999873	0.004427221	0.01996648
RP4-565E6.1	2.104180127	-4.497083167	2.46627442	-1.823431785	0.06823802	NA
CTD-3105H18.14	7.904796683	-4.494969363	1.363482778	-3.296682169	0.000978341	0.005741904
BICD1P1	2.086514403	-4.493730033	1.970697946	-2.280273363	0.022591481	NA
AC136365.1	4.223592398	-4.486283568	1.671012579	-2.684769477	0.007257985	0.029845482
UGT1A2P	2.071597242	-4.484891213	1.965302254	-2.282036366	0.022487193	NA
RP11-423E7.2	2.069436877	-4.482901596	2.088122762	-2.146857301	0.031804644	NA
CTD-3148I10.15	2.06737921	-4.481464377	2.538735926	-1.765234553	0.077524354	NA
LINC01202	2.065218845	-4.481027111	2.033860467	-2.203212651	0.027579764	NA
RP11-306O13.1	2.065218845	-4.481027111	2.033860467	-2.203212651	0.027579764	NA
RP11-476K15.1	2.065218845	-4.481027111	2.033860467	-2.203212651	0.027579764	NA
GLT1D1	7.821569418	-4.47986491	1.3020719	-3.440566461	0.000580498	0.003695405
RP11-290F5.1	2.060898114	-4.476823535	2.402906119	-1.863087159	0.062450005	NA
PABPC5	7.657913758	-4.472497391	1.387891756	-3.222511678	0.00127072	0.007132124
CERS3	2.050301684	-4.471400648	2.153326266	-2.076508664	0.037846931	NA
KCCAT211	39.01608192	-4.466398973	0.592391657	-7.539604789	4.71E-14	1.93E-12
WNT11	23.21130717	-4.465510712	0.778101804	-5.738980025	9.52E-09	1.86E-07
CLEC7A	135.9973239	-4.464896942	0.381742123	-11.69610759	1.33E-31	1.99E-29
LINC01133	38.41212019	-4.459796553	0.622796961	-7.160915729	8.01E-13	2.82E-11
RP11-874J12.4	2.031063793	-4.459671199	2.013563531	-2.214815242	0.026772749	NA
RNA5SP109	19.32762807	-4.456048198	0.840626851	-5.300863505	1.15E-07	1.85E-06
UGT1A1	30.03824005	-4.445353615	0.779879776	-5.70004987	1.20E-08	2.28E-07
BBOX1	2.009768235	-4.443908351	2.413416983	-1.841334665	0.065572531	NA
ZSCAN5B	1.999069106	-4.438833838	2.096011981	-2.11775213	0.034196065	NA
RP11-317B7.2	2.010356433	-4.432962709	2.035717489	-2.177592291	0.029436404	NA
CLEC3B	4.052331485	-4.429637217	1.583059209	-2.798150058	0.005139623	0.022514589
KRASP1	1.98199158	-4.427057943	2.161681264	-2.047969799	0.040562959	NA
KB-1980E6.3	1.993278907	-4.421859106	2.037407444	-2.170336189	0.029981387	NA
CMB9-22P13.2	1.987488708	-4.415724584	2.98880179	-1.477423026	0.139562278	NA
CD247	1.976201381	-4.412167162	2.417970927	-1.824739543	0.068040343	NA
CTD-2227C6.2	1.976201381	-4.412167162	2.417970927	-1.824739543	0.068040343	NA
KRT79	1.976201381	-4.412167162	2.417970927	-1.824739543	0.068040343	NA
FMOD	1.963444586	-4.402989851	2.040626061	-2.157666186	0.030953795	NA
ASB5	1.94636706	-4.391617512	1.998765438	-2.197165024	0.028008663	NA
DUSP8P4	1.94636706	-4.391617512	1.998765438	-2.197165024	0.028008663	NA
ZPBP	1.933610265	-4.383700953	2.502712919	-1.751579624	0.079846119	NA
RP11-702F3.3	1.9314499	-4.382125805	2.026643776	-2.162257549	0.03059833	NA
AC006372.6	1.929289534	-4.380314889	2.044268281	-2.142729958	0.032134788	NA
ABCA9	1.929289534	-4.380314889	2.044268281	-2.142729958	0.032134788	NA
AC011747.6	1.940576861	-4.379579083	2.511455837	-1.743840771	0.081186859	NA
LINC01353	1.916532739	-4.372348532	2.105238948	-2.076889436	0.037811765	NA
HLA-DOB	1.916532739	-4.372348532	2.105238948	-2.076889436	0.037811765	NA
