	130A1	130A2	130A3	130G1	130G2	130G3
RP11-465B22.3	641.431857997749	815.997065992662	957.246834069876	741.31134075315	708.612299835768	703.224598357932
RP11-54O7.18	21.4107991543059	15.0935873478412	32.5225424938803	50.0210081479858	68.9460616056423	43.7514545260626
RNF223	712.801188512102	810.336970737222	1113.3550380405	1760.7394868091	1770.57316540045	1748.99107239553
C1orf159	1262.34503347262	1650.86111617013	1747.54461667117	1269.53318679588	1561.81981220559	1424.59004371448
LINC01342	10.705399577153	36.7906191603628	11.9249322477561	11.0046217925569	2.87275256690176	0
MIR200B	23.1950324171648	13.206888929361	14.0931017473481	9.00378146663744	25.8547731021159	12.8053037637256
MIR200A	14.2738661028706	16.9802857663213	32.5225424938803	6.0025209777583	18.1940995903778	7.46976052883995
MIR429	36.576781888606	38.677317578843	41.1952204922483	24.0100839110332	25.8547731021159	49.0869977609482
RP11-465B22.8	175.746976391595	242.440746774698	292.702882444922	166.069747051313	163.7468963134	179.274252692159
TTLL10-AS1	3.56846652571766	5.66009525544043	3.25225424938803	5.00210081479858	0.957584188967254	9.60397782279422
TTLL10	42.8215983086119	18.8669841848014	58.5405764889845	33.0138653776706	22.0244363462468	39.483019938154
TNFRSF18	161.473110288724	233.007254682298	337.150357186559	236.099158458493	208.753353194861	196.347991043793
TNFRSF4	2.67634989428824	9.43349209240072	2.16816949959202	1.00042016295972	0	0
SDF4	10913.262752276	13519.1375176195	14292.5733413106	12916.4247239729	12887.1680151213	13476.5151026742
B3GALT6	1529.98002290145	2011.22051409983	2507.48802627817	2145.90124954859	2106.68521572796	2181.17007442127
FAM132A	34.7925486257472	52.827555717444	99.7357969812328	16.0067226073555	15.3213470234761	18.1408469986113
RP5-902P8.12	27.6556155743118	15.0935873478412	13.0090169975521	8.00336130367773	5.74550513380352	18.1408469986113
UBE2J2	3775.43758420928	4926.16957065166	6204.21702308256	4452.8701453337	4521.71254030337	4683.53985158265
RP5-902P8.10	33.0083153628883	12.2635397201209	3.25225424938803	15.0063024443957	20.1092679683123	13.8724124107028
SCNN1D	149.875594080142	127.35214324741	138.762847973889	107.04495743669	116.825271054005	140.858341400982
ACAP3	4705.91523079016	4527.13285514311	4329.83449068526	5313.23148547905	5250.43410810745	5140.26235248886
MIR6726	0	0	0	0	0	0
PUSL1	639.64762473489	907.501939288949	1004.9465630609	954.400835463569	883.850206416776	813.136788996577
CPSF3L	4828.13520929599	5624.24798548931	5713.12663142497	5415.27434210094	5434.29027238917	5365.42227700104
MIR6727	0	0	0	0	0	0
RP5-890O3.9	395.207667723231	369.792890022108	445.55883216616	315.132351332311	329.408961004735	363.884048619203
CPTP	1290.00064904693	1733.87584658325	2129.14244859936	1424.59831205464	1397.11533170322	1487.54945388613
TAS1R3	27.6556155743118	83.0147304131263	29.2702882444922	28.011764562872	39.2609517476574	50.1541064079254
DVL1	3310.64481923456	4157.339965121	4056.64513373667	3720.56258604718	3617.75306591829	3881.07414905584
MIR6808	0	0	0	0	0	0
MXRA8	128.464794925836	98.1083177609675	74.8018477359246	106.04453727373	153.213470234761	107.777973344691
AURKAIP1	3758.48736821212	5701.602620647	8655.33264237134	5544.32854312275	5343.31977443728	5569.24002857367
NDUFB4P8	8.92116631429414	3.77339683696029	0	0	0.957584188967254	0
CCNL2	24140.67604648	22886.5951653734	21288.1722317442	15167.3700906323	15665.1197473153	15112.3926584902
RP4-758J18.2	1356.01727977271	1765.94971969741	2125.89019434997	1412.59327009912	1475.63723519854	1416.05317453866
MRPL20	3004.64881465427	3897.91893257998	5357.54683349188	4581.9243463555	4384.77800128106	4312.18604243461
RN7SL657P	0	0	0	0	0	0
RP4-758J18.13	617.344708949155	796.186732598621	1088.42108879519	498.209241153939	632.963148907355	713.895684827704
ANKRD65	8.02904968286473	9.43349209240072	6.50450849877605	2.00084032591943	1.91516837793451	0
RP4-758J18.7	0.892116631429414	1.88669841848014	2.16816949959202	0	1.91516837793451	0
TMEM88B	0	0	0	0	0	0
RP4-758J18.10	4.46058315714707	9.43349209240072	14.0931017473481	6.0025209777583	5.74550513380352	14.9395210576799
VWA1	785.062635657885	1070.70135248748	1320.41522525154	1085.45587681129	1282.20522902715	1371.23461136562
ATAD3C	116.867278717253	173.576254500173	251.507661952674	36.0151258665498	43.0912885035264	42.6843458790854
ATAD3B	2075.06328470482	2501.76210290467	2704.79145074104	2194.92183753362	2361.40260999325	2449.01434481253
ATAD3A	2114.31641648771	2614.96400801348	2992.07390943699	3199.34368114517	3097.78485130907	3285.6275240426
TMEM240	4.46058315714707	30.1871746956823	42.2793052420444	17.0071427703152	20.1092679683123	5.33554323488568
SSU72	8531.31134635949	10999.4517797392	14154.8945780865	7706.23651527869	7880.9178752005	7891.26844439592
RP5-832C2.5	73.153563777212	64.1477462283249	67.2132544873526	52.0218484739052	63.2005564718388	62.959410171651
AL645728.1	0	0	0	0	0	0
RP11-345P4.11	0	0	0	0	0	0
Metazoa_SRP	288.153671951701	248.100842030139	195.135254963282	360.151258665498	368.669912752393	366.018265913158
C1orf233	1522.84308985001	2217.81399092341	3478.82796209539	2359.99116442197	2352.78435229254	2526.91327604186
RP11-345P4.9	457.65583192329	485.824842758637	457.483764413916	506.212602457616	487.410352184332	479.131782492734
MIB2	1798.5071289617	1863.11468824914	1930.75493938669	1432.60167335831	1369.34539022317	1445.93221665402
MMP23B	9.81328294572356	10.3768413016408	13.0090169975521	5.00210081479858	7.66067351173803	2.13421729395427
CDK11B	4293.75734706977	4689.3889191324	4478.35410140731	4676.96426183667	4548.52489759446	4545.8828361226
RP11-345P4.10	4.46058315714707	1.88669841848014	0	3.00126048887915	3.83033675586902	1.06710864697714
SLC35E2B	8500.08726425946	7036.4417517217	5281.66090100616	6166.58988448369	6390.91687716745	6055.84157159525
RP11-345P4.7	73.153563777212	36.7906191603628	14.0931017473481	61.0256299405427	94.8008347077582	48.0198891139711
RP11-345P4.6	16.9502159971589	12.2635397201209	3.25225424938803	37.0155460295095	19.1516837793451	21.3421729395427
MMP23A	24.0871490485942	48.1108096712437	57.4564917391885	12.0050419555166	16.2789312124433	25.6106075274513
CDK11A	115.083045454394	110.371857481088	107.324390229805	107.04495743669	74.6915667394458	90.7042349930565
RP1-283E3.8	347.925486257472	190.556540266495	149.603695471849	248.10420041401	193.432006171385	197.41509969077
RP1-283E3.4	543.299028540513	325.455477187825	122.501576726949	280.11764562872	309.299693036423	287.05222603685
SLC35E2	497.801080337613	310.361889839984	211.396526210222	419.176048280121	413.676369633854	330.803680562912
NADK	8613.386076451	9108.97996442213	8352.87299717825	7507.15290284971	7771.75327765823	7956.36207186152
GNB1	27527.150779386	30697.5266178812	30861.7246571928	34318.4132701701	34285.3443017836	34682.0981354039
RP1-140A9.1	19.6265658914471	8.49014288316065	17.3453559967361	8.00336130367773	5.74550513380352	4.26843458790854
CALML6	132.033261451553	161.312714780052	227.657797457162	92.0386549922939	93.8432505187909	115.247733873531
TMEM52	107.946112402959	202.820079986615	300.291475693495	222.093276177057	158.958975368564	201.683534278679
CFAP74	12.4896328400118	6.6034444646805	8.67267799836807	15.0063024443957	10.5334260786398	7.46976052883995
RP11-547D24.1	0	0	0	2.00084032591943	0	0
GABRD	100.809179351524	126.40879403817	153.940034471033	126.052940532924	154.171054423728	109.912190638645
RP11-547D24.3	0.892116631429414	1.88669841848014	2.16816949959202	7.00294114071801	0	6.40265188186281
PRKCZ	1798.5071289617	2182.91007018153	2176.84217759039	1394.58570716584	1404.77600521496	1446.999325301
RP5-892K4.1	1.78423326285883	0	2.16816949959202	8.00336130367773	3.83033675586902	9.60397782279422
RP11-181G12.2	206.971058491624	215.083619706736	174.537644717157	137.057562325481	119.698023620907	126.985928990279
FAAP20	1119.60637244392	1256.54114670778	1764.8899726679	1161.48780919623	1278.37489227128	1305.07387525304
RP11-181G12.4	2.67634989428824	0	2.16816949959202	0	0	0
AL590822.1	0	0	0	0	0	0
SKI	3732.61598590067	3234.74443848421	2556.27184001899	3637.52771252153	3646.4805915873	3306.96969698214
MORN1	504.045896757619	412.243604437911	398.943187924931	573.240753375917	513.265125286448	543.158301311362
RP4-713A8.1	0.892116631429414	0.943349209240072	2.16816949959202	4.00168065183886	0	2.13421729395427
RP4-740C4.5	117.759395348683	123.578746410449	142.015102223277	111.046638088528	122.570776187809	134.455689519119
RP4-740C4.7	38.3610151514648	93.3915717147671	85.6426952338847	46.0193274961469	25.8547731021159	25.6106075274513
RER1	9493.90519167183	11835.2591791259	14393.3932230416	9833.12978173105	10225.0839697923	10063.9016496414
PEX10	884.08758174655	1066.92795565052	1096.00968204377	1055.4432719225	1132.82209554826	1099.12190638645
PLCH2	215.000108174489	253.760937285579	213.564695709814	105.04411711077	80.4370718732494	102.442430109805
RP3-395M20.2	1.78423326285883	5.66009525544043	4.33633899918404	0	0	1.06710864697714
RP3-395M20.3	1.78423326285883	0	1.08408474979601	1.00042016295972	0	0
PANK4	1355.12516314128	1451.81443302047	1574.09105670381	1899.7978894605	1858.67091078544	1881.31254462069
HES5	1.78423326285883	0	0	0	0	0
RP3-395M20.12	259.60593974596	292.438254864422	458.567849163712	196.082351940104	161.831727935466	267.844270391261
RP3-395M20.8	6.2448164200059	2.83004762772022	4.33633899918404	0	3.83033675586902	2.13421729395427
TNFRSF14	3.56846652571766	2.83004762772022	23.8498644955122	0	0	0
RP3-395M20.7	0	0	0	2.00084032591943	0	0
RP3-395M20.9	8.92116631429414	1.88669841848014	8.67267799836807	4.00168065183886	9.57584188967254	4.26843458790854
FAM213B	1381.88866208416	1670.67144956417	1930.75493938669	1952.82015809737	2144.03099909768	2222.78731165337
MMEL1	35.6846652571766	76.4112859484458	104.072135980417	49.0205879850261	44.0488726924937	73.6304966414224
RP13-436F16.1	0	0	0	0	0	0
TTC34	49.0664147286178	47.1674604620036	34.6907119934723	25.0105040739929	23.9396047241814	20.2750642925656
RP11-740P5.2	0	0	0	0	0	0
RP11-740P5.3	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
LINC00982	97.2407128258062	66.9777938560451	88.8949494832727	13.0054621184763	9.57584188967254	25.6106075274513
PRDM16	736.888337560696	580.159763682644	517.108425652696	235.098738295533	270.996325477733	200.616425631702
RP1-163G9.2	6.2448164200059	16.0369365570812	15.1771864971441	4.00168065183886	3.83033675586902	2.13421729395427
RP11-193J6.1	0	0	0	0	0	0
RP11-22L13.1	0	0	0	0	0	0
ARHGEF16	2847.63628752269	3557.36986804431	3866.93030252236	3313.39157972258	3313.2412938267	3461.70045079383
RP11-168F9.2	19.6265658914471	28.3004762772022	26.0180339951042	10.0042016295972	6.70308932277078	8.53686917581709
MEGF6	1354.23304650985	1072.58805090596	995.189800312736	1587.66679861707	1728.43946108589	1483.28101929822
MIR551A	0	0	0	0	0	0
RP11-46F15.2	31.2240821000295	25.4704286494819	26.0180339951042	8.00336130367773	2.87275256690176	9.60397782279422
TPRG1L	3649.64913917773	4663.91849048292	4823.09305184244	3764.58107321741	3817.88816141244	3914.15451711213
WRAP73	2000.12548766475	2261.20805454845	2509.65619577776	2472.03822267346	2431.30625578786	2650.69787909121
TP73	586.120626849125	602.800144704406	471.576866161264	1588.66721878003	1713.11811406242	1591.05899264291
RP5-1092A11.5	3.56846652571766	3.77339683696029	2.16816949959202	23.0096637480735	0	8.53686917581709
RP5-1092A11.2	0	0	0	0	2.87275256690176	0
TP73-AS1	10.705399577153	5.66009525544043	6.50450849877605	23.0096637480735	6.70308932277078	5.33554323488568
CCDC27	2.67634989428824	1.88669841848014	0	7.00294114071801	11.491010267607	10.6710864697714
SMIM1	34.7925486257472	56.6009525544043	68.2973392371486	66.0277307553413	48.83679363733	57.6238669367653
LRRC47	4129.60788688676	4512.03926779526	4476.18593190772	4954.08064697651	4933.47374155929	4990.86714191206
RN7SL574P	5.35269978857649	0.943349209240072	8.67267799836807	7.00294114071801	9.57584188967254	14.9395210576799
RP1-286D6.5	94.5643629315179	66.9777938560451	34.6907119934723	55.0231089627844	62.2429722828715	70.429170700491
CEP104	3910.14719555512	3847.92142449025	3561.21840307989	4370.835691971	4462.3423205874	4462.64836165838
DFFB	506.722246651907	432.053937831953	465.072357662488	589.247475983273	588.914276214861	528.218780253682
C1orf174	1816.34946159029	2070.65151428196	2091.1994823565	1731.72730208327	1773.44591796735	1746.85685510157
LINC01134	42.8215983086119	22.6403810217617	41.1952204922483	16.0067226073555	25.8547731021159	20.2750642925656
LINC01346	0	0	0	0	0	0
RP13-614K11.2	0	1.88669841848014	4.33633899918404	0	0	0
EEF1DP6	0	0	0	0	0	0
RP5-1166F10.1	0	0	0	0	0	0
RP1-37J18.1	0	0	0	0	0	0
RP1-37J18.2	0	0	0	0	0	0
AJAP1	46.3900648343296	36.7906191603628	45.5315594914324	12.0050419555166	39.2609517476574	19.2079556455884
AL137795.1	0	0	0	0	0	0
RP11-542C10.1	0	0	0	0	0	0
RP1-58B11.1	0	0	0	0	0	0
MIR4417	0	0	0	0	0	0
RP11-154H17.1	0	0	0	2.00084032591943	0	0
AL356693.1	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0
NPHP4	909.958964058003	992.403368120556	776.204680853942	1278.53696826252	1288.90831834992	1267.72507260884
AL356261.1	0.892116631429414	0	0	0	0	0
KCNAB2	802.012851655044	869.767970919346	790.297782601291	619.260080872064	602.320454860403	675.479773536527
CHD5	476.390281183307	443.374128342834	294.871051944514	596.250417123991	725.848815237179	630.661210363487
RPL22	34011.054456615	42782.7733374557	58480.9518277457	27997.7586805906	28022.7437059377	28247.4329941318
RP1-120G22.11	10.705399577153	13.206888929361	11.9249322477561	17.0071427703152	1.91516837793451	6.40265188186281
RNF207	667.303240309202	651.85430358489	469.408696661672	451.189493494832	460.597994893249	476.99756519878
ICMT	12207.7239844801	12369.1948315558	10616.4419547523	13777.7864842812	13090.1758631824	13302.576393217
LINC00337	93.6722463000885	128.29549245665	132.258339475113	129.054201021803	128.316281321612	167.53605757541
HES3	0	0	0	0	0	0
GPR153	1401.51522797561	1729.15910053705	1834.27139665485	1000.42016295972	1146.2282741938	1047.90069133155
ACOT7	2625.49924629677	3713.02248756892	4896.81081482857	5090.13778913903	5050.2990126133	5615.12570039369
RP1-202O8.3	0	0	0	0	0	0
HES2	542.406911909084	489.598239595597	434.7179846682	204.085713243782	180.983411714811	204.88486021961
ESPN	2709.35820965113	3192.2937240684	3643.60884406439	2351.98780311829	2453.3306921341	2621.88594562282
MIR4252	0	0	1.08408474979601	0	0.957584188967254	0
RP1-202O8.2	41.9294816771825	30.1871746956823	10.8408474979601	40.0168065183886	45.9640410704282	37.3488026441998
TNFRSF25	1252.5317505269	1332.95243265622	1231.52027576827	708.297475375479	699.036457946096	741.640509649109
PLEKHG5	1444.33682628422	1320.6888929361	1055.89854630131	983.413020189401	955.66902058932	923.048979635222
NOL9	1947.49060641041	2070.65151428196	2237.55092357896	2258.94872796304	2389.1725514733	2330.56528499806
RNU6-731P	1.78423326285883	0	0	0	0	0
RP11-58A11.2	19.6265658914471	0	0	30.0126048887915	15.3213470234761	8.53686917581709
TAS1R1	1.78423326285883	9.43349209240072	6.50450849877605	1.00042016295972	5.74550513380352	0
ZBTB48	1140.12505496679	1332.95243265622	1541.56851420992	961.403776604287	979.608625313501	977.471520631056
KLHL21	1654.87635130156	1772.5531641621	1428.82370023114	1813.76175544597	1910.38045698967	2064.85523190076
PHF13	3347.22160112316	3496.99551865295	3279.35636813293	3655.5352754548	3716.38423738191	3747.6855681837
THAP3	586.120626849125	710.341954557774	844.502020091091	462.194115287389	514.222709475416	557.030713722065
DNAJC11	3185.74849083444	3440.39456609854	2711.29595923982	4170.75165937906	4301.46817684091	4082.75768333452
RP11-242F24.1	0	0	0	0	0	0
RP11-312B8.1	21.4107991543059	47.1674604620036	54.2042374898005	68.0285710812607	22.9820205352141	40.5501285851312
CAMTA1	2793.2171730055	2951.73967571219	3639.2725050652	2805.17813693904	2907.22559770458	2971.89758183132
RP11-312B8.2	0	0	0	0	0	0
RP11-334N17.1	0	0	0	0	0	0
RNU1-8P	0	0	0	0	0	0
Z98052.1	0	0	0	0	0	0
CAMTA1-IT1	0	0	1.08408474979601	0	0	0
RP3-453P22.2	1.78423326285883	2.83004762772022	0	0	0	2.13421729395427
RP4-549F15.1	8.02904968286473	14.1502381386011	20.5976102461242	4.00168065183886	7.66067351173803	17.0737383516342
RP11-338N10.1	18.7344492600177	10.3768413016408	8.67267799836807	4.00168065183886	3.83033675586902	4.26843458790854
RP11-338N10.2	40.1452484143237	77.3546351576859	73.7177629861286	18.0075629332749	28.7275256690176	25.6106075274513
RP11-338N10.3	107.05399577153	90.5615240870469	145.267356472665	50.0210081479858	55.5398829601007	42.6843458790854
VAMP3	8371.62246933362	7613.77146777662	7186.39780639774	8208.44743708447	7985.29455179793	7620.22284806373
RP3-467L1.6	82.9668467229355	42.4507144158032	37.9429662428603	62.0260501035024	40.2185359366247	41.6172372321083
PER3	2197.28326321065	1615.013846219	1158.88659753193	2050.86133406742	2065.50909560237	1954.94304126211
RP3-467L1.4	5.35269978857649	4.71674604620036	2.16816949959202	6.0025209777583	4.78792094483627	5.33554323488568
UTS2	0	0	0	2.00084032591943	0	0
TNFRSF9	5.35269978857649	0	0	0	0	0
RP5-892F13.2	0	0	0	0	0	0
PARK7	15341.7297106916	20152.7691569957	26905.8994051871	20034.4141834313	20298.8696377279	20967.6178044537
Y_RNA	789.523218815032	616.007033633767	556.135476645353	717.301256842116	804.370718732494	742.707618296086
ERRFI1	5327.72052289646	4558.26337904803	3936.31172650931	5667.38022316679	5742.63238123662	5657.81004627277
RP11-431K24.1	16.0580993657295	14.1502381386011	6.50450849877605	4.00168065183886	2.87275256690176	13.8724124107028
CTA-215D11.4	3.56846652571766	0	0	0	0	0
RP11-431K24.2	0	1.88669841848014	1.08408474979601	0	1.91516837793451	0
RP11-431K24.3	5.35269978857649	0	0	0	0.957584188967254	0
RNU1-7P	0	0	0	0	0	0
RP11-431K24.4	0	0	0	0	1.91516837793451	0
RNU6-991P	0	0	0	0	0	0
SLC45A1	11.5975162085824	33.0172223234025	9.75676274816408	16.0067226073555	7.66067351173803	10.6710864697714
RERE	5269.73294185355	3904.52237704466	2996.41024843617	4885.05165573229	4763.02375592312	4488.25896918583
RP5-1115A15.1	1.78423326285883	3.77339683696029	13.0090169975521	0	1.91516837793451	0
SNORA77	2.67634989428824	0	1.08408474979601	3.00126048887915	5.74550513380352	1.06710864697714
RP5-1115A15.2	0	0	0	0	0	0
AL096855.1	0	0	0	0	0	0
RPL7P11	0	0	0	0	0	0
RPL7P7	0	0	0	0	0	2.13421729395427
RP4-633I8.3	0	0	0	0	0	0
RP4-633I8.4	0	0	0	0	0	0
RPL23AP19	0	0	0	0	0	0
ENO1	72134.7665841196	95889.5604208348	124838.863447509	121927.207780878	122147.523976285	128461.740249049
MIR6728	9.81328294572356	1.88669841848014	0	1.00042016295972	5.74550513380352	1.06710864697714
ENO1-IT1	8.92116631429414	4.71674604620036	4.33633899918404	16.0067226073555	17.2365154014106	14.9395210576799
ENO1-AS1	21.4107991543059	25.4704286494819	35.7747967432683	20.0084032591943	17.2365154014106	11.7381951167485
RNU6-304P	4.46058315714707	1.88669841848014	3.25225424938803	0	2.87275256690176	0
HMGN2P17	0	2.83004762772022	1.08408474979601	1.00042016295972	3.83033675586902	1.06710864697714
RP3-477M7.5	0	7.54679367392058	4.33633899918404	0	2.87275256690176	5.33554323488568
RP3-477M7.6	0	0	0	0	0	0
CA6	1.78423326285883	0	8.67267799836807	0	0	0
RN7SL451P	0	0	0	0	0	0
SLC2A7	0	1.88669841848014	0	1.00042016295972	1.91516837793451	0
SLC2A5	12.4896328400118	10.3768413016408	17.3453559967361	4.00168065183886	5.74550513380352	0
SCARNA16	0	0	0	0	0	0
AL158048.1	0	0	0	0	0	0
GPR157	1657.55270119585	1751.79948155881	1672.74276893524	1814.76217560892	1738.97288716453	1792.74252692159
MIR34AHG	1097.30345665818	1013.15705072384	919.303867827016	670.28150918301	709.569884024735	637.06386224535
MIR34A	0	0	0	0	0	0
RP3-510D11.2	169.502159971589	191.499889475735	171.285390467769	57.0239492887038	83.3098244401511	116.314842520508
RP3-510D11.4	12.4896328400118	25.4704286494819	42.2793052420444	5.00210081479858	1.91516837793451	4.26843458790854
H6PD	3146.49535905154	3073.43172370415	2392.57504279979	3066.28779947153	3027.88120551446	2683.7782471475
SPSB1	2675.45777765681	2817.78408800009	2998.57841793576	2231.93738356313	2187.12228760121	2022.17088602167
RNA5SP40	0	0	0	0	0	0
RP13-392I16.1	0	0	2.16816949959202	0	0	0
SLC25A33	1193.65205285256	1383.89328995519	1721.52658267606	1443.60629515087	1530.21953396967	1479.01258471031
RP13-15M17.1	7.13693305143532	1.88669841848014	0	4.00168065183886	10.5334260786398	13.8724124107028
TMEM201	980.436177940926	1222.58057517513	1016.87149530866	1786.75041104605	1852.92540565164	1696.70274869365
PIK3CD	181.991792811601	164.142762407773	108.408474979601	147.061763955078	156.086222801662	165.401840281456
PIK3CD-AS1	0	0	0	0	0	0
RP11-558F24.2	0	0	0	0	0	0
PIK3CD-AS2	15.1659827343	34.9039207418827	50.9519832404124	7.00294114071801	1.91516837793451	7.46976052883995
CLSTN1	16607.64321069	17300.0811482537	14785.8319024678	15670.581432601	15890.1520317226	15900.9859486063
MZT1P1	0	0	0	0	0	0
AL357140.1	0	0	0	0	0	0
